nom,id
Fretille,2042
Felix Eboue,2033
Gaite,2031
Galicie,2021
Gallet,2017
Gare Sud Feval,2015
Garenne,2016
Gares,2008
Garigliano,3002
Gast,3007
Gaston Bardet,3041
Gaudais,3035
Gautrais,3037
Gavrinis,3038
Gayeulles,3028
Gayeulles Piscine,3016
Gentilhommiere,3020
Genets,3015
George Sand,4072
Gerhoui,4257
Gide,4269
Gingouillere,4259
Ginguene,4262
Gohier,2903
Grand Domaine,2904
Grand Quartier,2945
Grande Fontaine,2925
Gretay,2926
Gripay,2919
Grippay,2916
Grippiere,2908
Gros Chene,2912
Groupe Scolaire,4603
Gree Barel,4607
Guilloux,4604
Guilloux Lorient,4001
Guyomerais,4013
Guehenno,4011
Guerinais,4004
Geniaux,4503
Geniaux Ev,4513
Geriatrie,4302
Geveze Clairville,4323
Geveze Mairie,4320
Haie de Terre,4321
Haie des Cognets,4322
Hallerais,4308
Hallouvry,4701
Haut Bois,4702
Haut Grippe,4762
Haut Launay,4722
Haut Plessis,4726
Haut Sance,4712
Haut Trait,4718
Haute Abbaye,4710
Haute Fresnais,4711
Haute Rabine,4905
Hautiere,4950
Haye Longue,4956
Haye Renaud Gare,3502
Henri Freville,3503
Hil-Bintinais,3515
Holywell,3516
Horizon,3507
Horizons,3509
Housset,3510
Houx Cite U,3511
Huberdieres,3869
Hublais,3861
Huchetais,3862
Helias,3863
Heroniere,3404
Hopital Regnier,3426
Hopital Sud,3424
Hotel de Region,2704
Hotel Dieu,2774
Hotel Dieu Ev,2764
Ile des Bois,2758
Ise,2759
Italie,2762
IUT,2751
Ize,2733
J. Sebastien Bach,2726
Jacques Cartier,2727
Janais,2712
Jardin du Soleil,2713
Jardin Moderne,2714
Jean Jaures,3202
Jean Marin,3205
Jean Pont,3259
Jean-Paul II,3251
Jeanne d'Arc,3230
Joliot-Curie,3220
Joliot-Curie - Chateaubriand,3222
Jules Ferry,3207
Jules Maniez,3175
Jules Verne,3172
Juteauderies,3168
Kennedy Guyenne,3136
Kerfleury,3137
Kerguelen,3125
Kerviler,3126
L'Ardrais,3134
L'Autre Lieu,3121
L'Hermitage Centre,3114
L'Hermitage Gare,3601
L'Hermitiere Village,3606
L'Ourmais,3615
La Barre,4802
La Basse Erable,4803
La Brosse,1001
La Chapelle Centre,1005
La Corbinais,9217
La Coulee,9140
La Cour aux Pages,9141
La Criee,9119
La Croix de l'Epine,1740
La Feutelais,1741
La Foucherais,1710
La Fretais,1700
La Gicquelais,1686
La Harpe,1688
La Haute Barre,1679
La Houdinais,1677
La Lande Basse,1667
La Motte,1670
La Noe,1664
La Plesse,1653
La Porte,4012
La Poste,1649
La Poterie,1651
La Renardiere,4010
La Rochelle,1652
La Salle,1647
La Tertronais,4506
La Touche,1631
Laille College,4531
Laille Eglise,1633
Lande,4520
Lande Bouhard,1626
Lande de Pincon,4303
Lande de Ville,1622
Lande du Jardin,4306
Lande du Pont,4325
Lande Saint-Denis,1610
Landelles,4327
Landes,4316
Landrel,4318
Landry,1606
Langan Bourg,4703
Langevin,1589
Langlois,4761
Languedoc,1590
Launay Garnier,4763
Launay Hyon,1596
Lavoisier,4752
Laennec,1575
Le Blizz,4755
Le Blosne,1587
Le Cleux,4743
Le Dantec,1572
Le Gobigne,4727
Le Guyader,4728
Le Ho,1574
Le Louvrel,4717
Le Mail,1567
Le Nid,4900
Le Plessix Mandon,1566
Le Ponant,4903
Le Patis,1556
Le Reuvre,1552
Le Rocher,3505
Le Roheu,3519
Le Verger Eglise,1523
Legraverend,3854
Lemaistre,1519
Lemordant,3880
Lenoir,1509
Leray,3865
Les Arts,1503
Les Bordes,3857
Les Cruaux,3858
Les Lacs,1498
Les Lices,3860
Les Pins,1495
Les Places,1491
Les Preales,3423
Les Vallees,3418
Leuzieres,1459
Levant,3420
Liberte Ev,1446
Liberte TNB,2772
Lilas,2765
Lion d'Or,1449
Loges,2768
Longs Champs,1433
Longs Champs Est,2749
Longs Pres,2750
Lotissement du Moulin,1427
Louis Texier,2753
Lycee Basch,1421
Lycee Brequigny,2755
Lycee Descartes,1425
Lycee Mendes France,1413
Lycee Monod,2735
Lycee Ozanam,1409
Lycee St-Exupery,2723
Lycee Sevigne,1402
Lycee Zola,2721
Lycee Zola Ev,1403
Leonard,1398
Maffeys,2717
Mahomat,1399
Mail Lance,2719
Maillardiere,1394
Mainguere,2715
Maison Blanche,2711
Maison d'Accueil,3203
Maison Diocesaine,3206
Maison Neuve,1393
Malakoff,3258
Malraux,3238
Mandela,3219
Marais,1377
Marbeuf,3213
Mare de la Salle,3171
Mare Doux,1378
Mare Pavee,3148
Marronniers,1369
Martigne,3162
Martiniere,1372
Maubusson,3164
Menault,1364
Merlin,3145
Mermoz,1365
Mettrie Templiers,3135
Metz Volney,1366
Meynier,1367
MFR Rabinardieres,1331
Miniac Ecole,3611
Miniac Eglise,1325
Mirabeau,3614
Mivoie,3616
Moc Souris,1315
Moigne,9153
Molene,1317
Monbusson,9144
Monceau,9145
Monnet,1300
Monniais,9146
Monsieur Vincent,1301
Montand,9152
Montgermont Mairie,1303
Montheleu,9133
Monts d'Arree,1289
Monts Gaultier,9134
Morbihan,4002
Mordelles Eglise,1742
Mordelles Eglise Ev,1264
Mordelles Lilas,4003
Mordelles Mairie,1266
Mordelles Patis,1261
Morinais,4502
Morvan Lebesque,4521
Motte Brulon,1263
Moulin,4525
Moulin de Joue,1260
Mouton Blanc,4529
Mouezy,4510
Mozart,1233
Muguet,4304
Musset Cite U,1235
Musee Beaux Arts,4324
Musee Beaux Arts Ev,1711
Mediatheque,1236
Menouriais,4319
Metairie,1222
Metairies Chalotais,4315
Metrie,1699
Mezieres,1223
Neruda,4705
Nobel,1684
Nominoe,1224
Normandie,4749
Norvege,4742
Noyal La Touche,1680
Noe,4716
Noe Biche,1674
Noe Diole,1205
Oberthur,4721
Oliverie,1662
Olivier de Serres,1200
Olympe de Gouges,4901
Omblais,1663
Opera,4902
Orgerblon,1193
Ormeaux,4904
Ormes Blanches,1657
Oree du Bois,1187
Ouessant,3512
Pace Cimetiere,1658
Painleve,3513
Papeteries,1655
Parc Beauregard,3518
Parc d'Activites,3506
Parc de Loisirs,1643
Parc des Sports,1169
Parc Expo,3878
Parthenay Fontaine,1636
Parthenay Mairie,1171
Pasteur,3402
Pasteur Ev,1623
Patton,1166
Patton Gast,1629
Paul Bert,3409
Paul Feval,1159
Paul-Emile Victor,3410
Pavie,1617
Perelle,1160
Petit Beaulieu,2773
Petit Champeaux,1611
Petite Hublais,1146
Petite Rochelle,2766
Petite Saudrais,1591
Petits Champs,1137
Peupliers,2729
Piardiere,1603
Pie Neuve,1140
Pierre Blanche,2730
Pierre Texier,1571
Pigeon Blanc,1129
Pilais Barbais,2731
Pilate,1573
Piletiere,1135
Pinault,1564
Pire,1116
Place de Bretagne,2722
Place de Kildare,1560
Place de la Mairie,2706
Place Hoche,1545
Place Pasteur,1111
Placis de la Touche,2708
Placis Vert,1547
Plaine de Baud,1112
Plardiere,2709
Plessix Saucourt,3204
Plelo Colombier,1533
Point du Jour,3260
Pologne,1520
Pommerais,1106
Pommiers,3255
Pont,1108
Pont Amelin,3247
Pont aux Moines,1518
Pont Brand,1104
Pont d'Avoine,3249
Pont d'Ohin,1101
Pont de Bretagne,3233
